,,train_name,station_name,station_code,id,train_number,departure
,,Firozpur Mumbai Janata Express,FIROZPUR CANT,FZR,23975,19024,04:30:00
,,C Shahu Maharaj Sangli Passenger,C SHAHU M RAJ KOLHAPUR TERM,KOP,15789,51430,18:35:00
,,Bhusaval Nagpur Passenger,BHUSAVAL JN,BSL,14864,51285,19:30:00
,,Katni Chirmiri Passenger,KATNI,KTE,16403,51605,16:30:00
,,AISHBAGH - PILIBHIT PASS,AISHBAGH,ASSH,528546,52238,None
,,Jodhpur Bhildi Passenger,JODHPUR JN,JU,329127,54821,06:35:00
,,Villupuram-Puducherry Passenger,VILLUPURAM JN,VM,277945,56861,06:35:00
,,Dharwad hubli Passenger,DHARWAR,DWR,16250,51458,21:00:00
,,TRIVANDRUM - CHENNAI EGMORE Anantapuri Exp,TRIVANDRUM CENTRAL,TVC,528261,16724,16:20:00
,,Mumbai CST - Kanyakumari Express,MUMBAI CST,CSTM,307341,16381,15:45:00
,,Aunrihar- Jaunpur Passenger,AUNRIHAR JN,ARJ,281994,55159,15:20:00
,,Guntur Narasapur Fast Passenger,GUNTUR JN,GNT,317203,57381,16:35:00
,,INDORE - DEHRADUN Exp,INDORE JN BG,INDB,523029,14317,15:05:00
,,Secunderabad Medchal Suburban,SECUNDERABAD JN,SC,310023,57307,11:35:00
,,Karaikkudi Tiruturaipudi Express,Karaikkudi Junction,KKDI,286345,16862,17:45:00
,,Dadar Ajmer Superfast Express,MUMBAI DADAR WEST,DDR,334002,12989,14:35:00
,,KANNIYAKUMARI - CHENNAI EGMORE SF Exp,KANYAKUMARI,CAPE,525948,12634,17:20:00
,,Dehradun - Bandra Terminus Express,DEHRADUN,DDN,319700,19020,10:40:00
,,Bellary-Dharwar Passenger,BELLARY JN,BAY,15310,51411,14:20:00
,,Chennai Beach Chengulpet EMU,CHENNAI BEACH,MSB,311500,40601,03:55:00
,,KATHGODAM - MORADABAD Pass,KATHGODAM,KGM,526874,55304,16:15:00
,,Igatpuri Manmad Shuttle,IGATPURI,IGP,15638,51423,18:10:00
,,Vadodara Kathana Passenger,VADODARA JN,BRC,293638,59101,16:05:00
